,,,,,,,,,,,,,,,,Code,Stock,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status,Sector
,,,,,,,,,,,,,,,,0215CS,SLVEST-CS,,,0.25,,-,-,,,0,,-,-,0%,,,,Active,
,,,,,,,,,,,,,,,,0270CY,NATGATE-CY,,,-,,-,-,,,0,,-,-,0%,,,,New,
,,,,,,,,,,,,,,,,0259CJ,SNS-CJ,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
03041,1TECH,,,0.2,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,1TECH
03037,AURORA,,,0.22,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,AURORA
03042,BVLH,,,0.19,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,BVLH
03029,GPP,,,0.28,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,GPP
03022,MCOM,,,0.2,,-,-,,,0,,-,636450,94%,0.017,,,Suspended,,,,,,,,,,,,,,,,,MCOM
03015,MFGROUP,,,0.24,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,MFGROUP
03045,NP,,,0.275,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,NP
03006,NPS,,,0.215,,-,-,,,0,,-,61145,53%,,,,Active,,,,,,,,,,,,,,,,,NPS
03039,RTSTECH,,,0.165,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,RTSTECH
03009,SEERS,,,0.1,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SEERS
03008,SLIC,,,0.6,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SLIC
03017,UNIWALL,,,0.49,,-,-,,,0,,-,116250,15%,-0.094,,,Active,,,,,,,,,,,,,,,,,UNIWALL
03043,UTAMA,,,0.27,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,UTAMA
03053,CCIB,,,0.32,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,CCIB
03056,SAFETY,,,0.19,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SAFETY
03057,SANCY,,,0.35,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SANCY
052819,APPLE-C19,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,APPLE-C19
054838,BYD-C38,0.105,0.11,0.15,-0.04,0.115,0.105,,,22,,91,-,0%,,,,Active,,,,,,,,,,,,,,,,,BYD-C38
054647,TENCENT-C47,,,0.32,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,TENCENT-C47
05821F,ALIBABA-H1F,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,ALIBABA-H1F
0574C2,CATHAY-C2,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,CATHAY-C2
0650EA,FBMKLCI-HEA,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-HEA
058925,JDCOM-C25,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,JDCOM-C25
058719,KUAISHO-C19,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,KUAISHO-C19
058337,MEITUAN-C37,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,MEITUAN-C37
058138,XIAOMI-C38,,,0.28,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,XIAOMI-C38
05811D,XIAOMI-H1D,,,0.25,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,XIAOMI-H1D
0650Q8,FBMKLCI-CQ8,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-CQ8
0650Q9,FBMKLCI-CQ9,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-CQ9
0652G2,HSI-CWG2,0.945,0.945,1.08,-0.135,0.945,0.945,,,50,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWG2
0652I1,HSI-CWI1,,,0.52,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWI1
0652I4,HSI-CWI4,,,0.45,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWI4
0652I5,HSI-CWI5,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWI5
0652I6,HSI-CWI6,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWI6
0652I7,HSI-CWI7,,,-,,-,-,,,0,,-,-,0%,,,,New,,,,,,,,,,,,,,,,,HSI-CWI7
0652IE,HSI-CWIE,,,1.27,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWIE
0652HF,HSI-PWHF,,,0.25,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWHF
0652HO,HSI-PWHO,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWHO
0652HZ,HSI-PWHZ,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWHZ
