Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status,
,Sector,Sector,,,,,,,,,,,,,,,,,,
9714,VITROX-C14,VITROX-C14,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,VITROX-C14,VITROX-C14,,,,,,,,,,,,,,,,,,
01389X,ZETRIX-C9X,ZETRIX-C9X,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,ZETRIX-C9X,ZETRIX-C9X,,,,,,,,,,,,,,,,,,
0151CW,KGB-CW,KGB-CW,0.175,0.175,-,+0.025,0.175,0.175,,,1000,,100,-,0%,,,,New,
,KGB-CW,KGB-CW,,,,,,,,,,,,,,,,,,
01663V,INARI-C3V,INARI-C3V,0.115,0.12,-,-0.03,0.12,0.115,,,200,,100,-,0%,,,,New,
,INARI-C3V,INARI-C3V,,,,,,,,,,,,,,,,,,
20826,GREATEC-C26,GREATEC-C26,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,GREATEC-C26,GREATEC-C26,,,,,,,,,,,,,,,,,,
0215CV,SLVEST-CV,SLVEST-CV,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,SLVEST-CV,SLVEST-CV,,,,,,,,,,,,,,,,,,
0270CZ,NATGATE-CZ,NATGATE-CZ,,,0.17,,-,-,,,0,,-,-,0%,,,,Active,
,NATGATE-CZ,NATGATE-CZ,,,,,,,,,,,,,,,,,,
3029,GPP,GPP,,,0.28,,-,-,,,0,,-,-,0%,,,,Active,
,GPP,GPP,,,,,,,,,,,,,,,,,,
3015,MFGROUP,MFGROUP,,,0.24,,-,-,,,0,,-,-,0%,,,,Active,
,MFGROUP,MFGROUP,,,,,,,,,,,,,,,,,,
3006,NPS,NPS,,,0.215,,-,-,,,0,,-,61145,53%,,,,Active,
,NPS,NPS,,,,,,,,,,,,,,,,,,
3009,SEERS,SEERS,,,0.1,,-,-,,,0,,-,-,0%,,,,Active,
,SEERS,SEERS,,,,,,,,,,,,,,,,,,
3008,SLIC,SLIC,,,0.6,,-,-,,,0,,-,-,0%,,,,Active,
,SLIC,SLIC,,,,,,,,,,,,,,,,,,
3017,UNIWALL,UNIWALL,,,0.49,,-,-,,,0,,-,116250,15%,-0.094,,,Active,
,UNIWALL,UNIWALL,,,,,,,,,,,,,,,,,,
3037,AURORA,AURORA,,,0.22,,-,-,,,0,,-,-,0%,,,,Active,
,AURORA,AURORA,,,,,,,,,,,,,,,,,,
3042,BVLH,BVLH,,,0.19,,-,-,,,0,,-,-,0%,,,,Active,
,BVLH,BVLH,,,,,,,,,,,,,,,,,,
3053,CCIB,CCIB,,,0.32,,-,-,,,0,,-,-,0%,,,,Active,
,CCIB,CCIB,,,,,,,,,,,,,,,,,,
3045,NP,NP,,,0.275,,-,-,,,0,,-,-,0%,,,,Active,
,NP,NP,,,,,,,,,,,,,,,,,,
3039,RTSTECH,RTSTECH,,,0.165,,-,-,,,0,,-,-,0%,,,,Active,
,RTSTECH,RTSTECH,,,,,,,,,,,,,,,,,,
3056,SAFETY,SAFETY,,,0.19,,-,-,,,0,,-,-,0%,,,,Active,
,SAFETY,SAFETY,,,,,,,,,,,,,,,,,,
3057,SANCY,SANCY,,,0.35,,-,-,,,0,,-,-,0%,,,,Active,
,SANCY,SANCY,,,,,,,,,,,,,,,,,,
3043,UTAMA,UTAMA,,,0.27,,-,-,,,0,,-,-,0%,,,,Active,
,UTAMA,UTAMA,,,,,,,,,,,,,,,,,,
52819,APPLE-C19,APPLE-C19,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,APPLE-C19,APPLE-C19,,,,,,,,,,,,,,,,,,
0574C2,CATHAY-C2,CATHAY-C2,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,CATHAY-C2,CATHAY-C2,,,,,,,,,,,,,,,,,,
54647,TENCENT-C47,TENCENT-C47,,,0.32,,-,-,,,0,,-,-,0%,,,,Active,
,TENCENT-C47,TENCENT-C47,,,,,,,,,,,,,,,,,,
0652IE,HSI-CWIE,HSI-CWIE,,,1.65,,-,-,,,0,,-,-,0%,,,,Active,
,HSI-CWIE,HSI-CWIE,,,,,,,,,,,,,,,,,,
0652IK,HSI-CWIK,HSI-CWIK,,,0.32,,-,-,,,0,,-,-,0%,,,,Active,
,HSI-CWIK,HSI-CWIK,,,,,,,,,,,,,,,,,,
0652HZ,HSI-PWHZ,HSI-PWHZ,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,HSI-PWHZ,HSI-PWHZ,,,,,,,,,,,,,,,,,,
0652J2,HSI-PWJ2,HSI-PWJ2,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,HSI-PWJ2,HSI-PWJ2,,,,,,,,,,,,,,,,,,
0652KH,HSI-CWKH,HSI-CWKH,,,0.65,,-,-,,,0,,-,-,0%,,,,Active,
,HSI-CWKH,HSI-CWKH,,,,,,,,,,,,,,,,,,
0652KI,HSI-CWKI,HSI-CWKI,,,0.52,,-,-,,,0,,-,-,0%,,,,Active,
,HSI-CWKI,HSI-CWKI,,,,,,,,,,,,,,,,,,
0652KJ,HSI-CWKJ,HSI-CWKJ,,,0.42,,-,-,,,0,,-,-,0%,,,,Active,
,HSI-CWKJ,HSI-CWKJ,,,,,,,,,,,,,,,,,,
0652KM,HSI-CWKM,HSI-CWKM,0.28,0.29,0.22,+0.070,0.29,0.28,,,400,,50,-,0%,,,,Active,
,HSI-CWKM,HSI-CWKM,,,,,,,,,,,,,,,,,,
0660AC,HSCEI-CAC,HSCEI-CAC,,,0.28,,-,-,,,0,,-,-,0%,,,,Active,
,HSCEI-CAC,HSCEI-CAC,,,,,,,,,,,,,,,,,,
0660BC,HSCEI-HBC,HSCEI-HBC,,,0.22,,-,-,,,0,,-,-,0%,,,,Active,
,HSCEI-HBC,HSCEI-HBC,,,,,,,,,,,,,,,,,,
0652LG,HSI-PWLG,HSI-PWLG,,,0.63,,-,-,,,0,,-,-,0%,,,,Active,
,HSI-PWLG,HSI-PWLG,,,,,,,,,,,,,,,,,,
0652LH,HSI-PWLH,HSI-PWLH,,,0.47,,-,-,,,0,,-,-,0%,,,,Active,
,HSI-PWLH,HSI-PWLH,,,,,,,,,,,,,,,,,,
101557,AMBANK-C57,AMBANK-C57,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,AMBANK-C57,AMBANK-C57,,,,,,,,,,,,,,,,,,
0736C6,BAIDU-C6,BAIDU-C6,,,0.45,,-,-,,,0,,-,-,0%,,,,Active,
,BAIDU-C6,BAIDU-C6,,,,,,,,,,,,,,,,,,
0740C1,BRODCOM-C1,BRODCOM-C1,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,BRODCOM-C1,BRODCOM-C1,,,,,,,,,,,,,,,,,,
0709H3,GLDHK-H3,GLDHK-H3,,,0.19,,-,-,,,0,,-,-,0%,,,,Active,
,GLDHK-H3,GLDHK-H3,,,,,,,,,,,,,,,,,,
10232F,CIMB-C2F,CIMB-C2F,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,CIMB-C2F,CIMB-C2F,,,,,,,,,,,,,,,,,,
