"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status","Listed on"
="03041","1TECH","705","","","0.030","","-","-","0.030","0.030","0","","-","-","0%","","","","Active","700"
="0012","3A","101","","","0.715","","-","-","0.935","0.705","0","3.92%","-","69070","50%","-0.001","8.89","8.10","Active","100"
="0328","3REN","405","0.405","0.415","0.405","+0.010","0.415","0.395","0.490","0.200","75840","1.20%","56","7290980","66%","0.026","1.54","30.31","Active","400"
="5326","99SMART","101","2.610","2.640","2.610","+0.030","2.640","2.610","2.650","1.920","22549","0.47%","57","9481450","63%","0.054","5.84","45.23","Active","100"
="5326C1","99SMART-C1","301","","","0.320","","-","-","0.320","0.090","0","","-","67825","61%","0.028","","","Active","300"
="532610","99SMART-C10","301","","","0.085","","-","-","0.090","0.070","0","","-","-","0%","","","","Active","300"
="532611","99SMART-C11","301","0.155","0.165","0.160","+0.005","0.165","0.150","0.165","0.125","10063","","48","1347525","60%","","","","Active","300"
="532612","99SMART-C12","301","0.100","0.100","0.095","+0.005","0.100","0.100","0.115","0.075","100","","100","1024530","53%","","","","Active","300"
="532613","99SMART-C13","301","0.090","0.085","0.080","+0.005","0.090","0.085","0.095","0.065","611","","65","-","0%","","","","Active","300"
="532614","99SMART-C14","301","","","0.100","","-","-","0.105","0.085","0","","-","-","0%","","","","Active","300"
="532615","99SMART-C15","301","0.095","0.105","0.095","+0.010","0.105","0.095","0.100","0.090","1831","","62","-","0%","","","","Active","300"
="5326C2","99SMART-C2","301","","","0.035","","-","-","0.035","0.020","0","","-","179305","58%","","","","Active","300"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active","300"
="5326C4","99SMART-C4","301","0.125","0.125","0.125","-","0.125","0.125","0.135","0.070","299","","-","1018400","56%","0.004","","","Active","300"
="5326C5","99SMART-C5","301","","","0.140","","-","-","0.140","0.060","0","","-","441155","54%","0.012","","","Active","300"
="5326C6","99SMART-C6","301","0.190","0.200","0.200","-","0.200","0.190","0.205","0.075","1145","","91","381060","63%","0.015","","","Active","300"
="5326C7","99SMART-C7","301","","","0.110","","-","-","0.110","0.060","0","","-","830235","73%","0.017","","","Active","300"
="5326C8","99SMART-C8","301","","","0.205","","-","-","0.205","0.095","0","","-","140885","66%","0.029","","","Active","300"
="5326C9","99SMART-C9","301","","","0.145","","-","-","0.200","0.110","0","","-","-","0%","","","","Active","300"
="5326CT","99SMART-CT","301","","","0.005","","-","-","0.065","0.005","0","","-","208145","44%","-0.005","","","Suspended, Forbid","300"
="5326CX","99SMART-CX","301","","","0.070","","-","-","0.070","0.025","0","","-","338090","64%","0.004","","","Active","300"
="5326CY","99SMART-CY","301","","","0.225","","-","-","0.225","0.070","0","","-","475405","63%","0.017","","","Active","300"
="5326CZ","99SMART-CZ","301","","","0.200","","-","-","0.210","0.065","0","","-","97685","72%","0.018","","","Active","300"
="0365","A1AKK","401","0.215","0.215","0.215","-","0.220","0.210","0.255","0.210","1968","","70","596975","43%","-0.002","0.82","30.02","Active","400"
="0703CI","A50CHIN-CI","358","","","0.245","","-","-","0.350","0.150","0","","-","66750","60%","0.008","","","Active","300"
="0703CJ","A50CHIN-CJ","358","0.215","0.215","0.200","+0.015","0.215","0.215","0.265","0.130","1","","-","87735","50%","0.009","","","Active","300"
