"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status","Mode"
="0001","SCOMNET","162","0.830","0.835","0.835","-","0.835","0.825","1.460","0.795","5858","2.99%","40","427495","39%","-0.024","3.74","22.94","Active","Real Time"
="0002","KOTRA","162","4.200","4.210","4.210","-","4.210","4.200","4.690","3.850","41","6.06%","17","6265","43%","0.003","28.64","14.70","Active","Real Time"
="0005","UCREST","405","0.070","0.075","0.070","+0.005","0.075","0.070","0.145","0.065","2672","","15","600150","50%","-0.001","0.69","10.80","Active","Real Time"
="0006","PINEAPP","405","0.550","0.600","0.625","-0.025","0.600","0.550","0.740","0.550","100","","-","150800","53%","-0.007","-3.64","","Active","Real Time"
="0007","PUC","463","0.020","0.025","0.020","+0.005","0.025","0.020","0.050","0.010","10412","","2","2081145","33%","","-3.06","","Active","Real Time"
="0008","WILLOW","105","0.275","0.275","0.275","-","0.275","0.275","0.320","0.240","1478","5.45%","-","266985","50%","0.001","-3.86","","Active","Real Time"
="0010","IRIS","405","0.260","0.260","0.260","-","0.265","0.255","0.360","0.235","2209","7.69%","36","199470","62%","0.001","2.91","8.87","Active","Real Time"
="0011","BTECH","465","0.265","0.270","0.270","-","0.270","0.265","0.330","0.235","847","3.70%","1","195980","53%","0.001","3.68","7.33","Active","Real Time"
="0012","3A","101","0.730","0.730","0.715","+0.015","0.730","0.720","0.930","0.705","1500","3.84%","62","69070","50%","-0.001","8.89","8.27","Active","Real Time"
="0017","XOXTECH","463","0.065","0.075","0.065","+0.010","0.075","0.065","0.070","0.025","350154","","66","4388470","82%","0.001","1.00","4.10","Active","Real Time"
="0018","LAMBO","405","","","0.005","","-","-","0.025","0.005","0","","-","5769605","25%","-0.004","0.19","2.64","Suspended, Alert","Real Time"
="0020","NETX","405","0.035","0.035","0.040","-0.005","0.035","0.035","0.125","0.030","20","","-","58360","56%","-0.001","-3.02","","Active","Real Time"
="0020WD","NETX-WD","405","","","0.005","","-","-","0.030","0.005","0","","-","62780","50%","","","","Active","Real Time"
="0022","PARLO","401","0.020","0.020","0.020","-","0.020","0.020","0.065","0.010","500","","100","524750","67%","","-1.41","","Active","Real Time"
="0022WA","PARLO-WA","401","","","0.005","","-","-","0.020","0.005","0","","-","68470","100%","","","","Active","Real Time"
="0023","IFCAMSC","405","0.340","0.335","0.340","-0.005","0.345","0.330","0.760","0.240","95599","2.99%","57","5708725","63%","0.010","2.86","10.70","Active","Real Time"
="0024","JAG","402","0.260","0.260","0.255","+0.005","0.265","0.260","0.345","0.190","56220","","92","6201445","71%","0.004","0.96","30.05","Active","Real Time"
="0024WC","JAG-WC","402","0.025","0.030","0.030","-","0.030","0.025","0.045","0.015","21342","","67","686990","57%","","","","Active","Real Time"
="0025","YBS","402","0.285","0.295","0.290","+0.005","0.295","0.285","0.825","0.220","5356","","72","653300","44%","0.002","-3.57","","Active","Real Time"
="0026","NOVAMSC","405","0.045","0.045","0.050","-0.005","0.050","0.040","0.180","0.040","46129","","22","609875","50%","","-0.57","","Active","Real Time"
="0028","SCOPE","402","0.115","0.125","0.115","+0.010","0.130","0.115","0.125","0.070","65816","","66","1952385","64%","0.004","-0.74","","Active","Real Time"
="0029","DIGISTA","105","","","0.040","","-","-","0.065","0.030","0","","-","566950","50%","","-1.37","","Active","Real Time"
="0029WC","DIGISTA-WC","105","0.005","0.005","0.005","-","0.005","0.005","0.020","0.005","100","","-","43540","50%","-0.002","","","Active","Real Time"
="0029WD","DIGISTA-WD","105","0.005","0.005","0.005","-","0.005","0.005","0.025","0.005","295","","-","188065","43%","-0.001","","","Active","Real Time"
="0032","REDTONE","163","0.520","0.510","0.510","-","0.520","0.505","1.040","0.455","4239","3.92%","17","848985","75%","0.002","3.41","15.04","Active","Real Time"
="0032CD","REDTONE-CD","363","","","0.005","","-","-","0.020","0.005","0","","-","186355","33%","-0.003","","","Active","Real Time"
="0034","MMAG","464","0.655","0.660","0.660","-","0.660","0.655","0.800","0.270","1429","","69","349020","80%","0.005","-3.86","","Active","Real Time"
="0034WC","MMAG-WC","464","0.505","0.505","0.505","-","0.505","0.505","0.640","0.200","56","","100","32730","61%","-0.002","","","Active","Real Time"
="0035","HEXCAP","463","0.230","0.215","0.230","-0.015","0.230","0.215","0.390","0.205","15059","","18","1950320","33%","-0.003","-0.77","","Active","Real Time"
="0036","KGROUP","405","0.130","0.135","0.140","-0.005","0.140","0.130","0.330","0.005","893","","55","285685","62%","0.002","-0.40","","Active","Real Time"
="0037","RGB","101","0.275","0.275","0.275","-","0.280","0.270","0.475","0.260","23092","14.55%","53","2727520","55%","-0.002","5.98","4.66","Active","Real Time"
="0038","ARTRONIQ","402","0.085","0.085","0.085","-","0.085","0.085","0.125","0.055","2500","","100","474930","50%","0.001","-1.37","","Active","Real Time"
="0038WA","ARTRONIQ-WA","402","0.010","0.005","0.005","-","0.010","0.005","0.045","0.005","521","","4","648190","40%","","","","Active","Real Time"
="0039","GFM","102","0.205","0.200","0.205","-0.005","0.205","0.200","0.285","0.165","12434","2.40%","17","1031850","75%","0.001","3.13","6.40","Active","Real Time"
="0039WD","GFM-WD","102","0.055","0.055","0.055","-","0.055","0.045","0.135","0.045","13824","","6","327190","67%","","","","Active","Real Time"
="0040","OPENSYS","105","0.320","0.320","0.320","-","0.335","0.320","0.375","0.290","24854","5.63%","72","237225","43%","","2.67","11.94","Active","Real Time"
="0041","HONGSENG","105","0.010","0.005","0.010","-0.005","0.010","0.005","0.015","0.005","9400","","55","1062415","50%","","0.25","2.28","Active","Real Time"
="0043","MTRONIC","102","0.010","0.015","0.010","+0.005","0.015","0.010","0.020","0.005","1470","","-","1223420","33%","","-0.68","","Active","Real Time"
="0045","SSB8","403","0.535","0.545","0.540","+0.005","0.545","0.515","0.670","0.375","23377","1.83%","36","1331150","43%","-0.004","1.77","28.34","Active","Real Time"
