,,,,,,,,,,,,,,,,,Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
,,,,,,,,,,,,,,,,,03041,1TECH,705,,,0.02,,-,-,0.03,0.02,0,,-,-,0%,,,,Active
,,,,,,,,,,,,,,,,,0012,3A,101,0.7,0.7,0.705,-0.005,0.7,0.7,0.865,0.695,164,4.00%,-,149420,31%,-0.005,8.89,7.93,Active
,,,,,,,,,,,,,,,,,0328,3REN,405,0.4,0.42,0.4,+0.020,0.42,0.395,0.49,0.2,53042,1.19%,53,7900700,53%,0.005,1.54,30.71,Active
5326,99SMART,101,3.04,3.06,3.04,+0.020,3.07,3.03,3.39,1.92,53050,0.41%,52,13615160,38%,0.067,5.84,52.43,Active,,,,,,,,,,,,,,,,,
532610,99SMART-C10,301,,,0.12,,-,-,0.13,0.07,0,,-,401560,65%,0.018,,,Active,,,,,,,,,,,,,,,,,
532611,99SMART-C11,301,,,0.25,,-,-,0.33,0.125,0,,-,102565,56%,0.026,,,Active,,,,,,,,,,,,,,,,,
532612,99SMART-C12,301,,,0.15,,-,-,0.215,0.075,0,,-,77035,55%,0.018,,,Active,,,,,,,,,,,,,,,,,
532613,99SMART-C13,301,0.205,0.205,0.21,-0.005,0.205,0.205,0.33,0.065,2950,,51,419515,41%,0.021,,,Active,,,,,,,,,,,,,,,,,
532614,99SMART-C14,301,,,0.185,,-,-,0.225,0.085,0,,-,-,71%,,,,Active,,,,,,,,,,,,,,,,,
532615,99SMART-C15,301,0.195,0.19,0.195,-0.005,0.195,0.19,0.31,0.09,6000,,67,428390,34%,0.023,,,Active,,,,,,,,,,,,,,,,,
532616,99SMART-C16,301,0.135,0.135,0.14,-0.005,0.135,0.135,0.22,0.1,540,,2,758930,41%,,,,Active,,,,,,,,,,,,,,,,,
532617,99SMART-C17,301,0.08,0.08,0.085,-0.005,0.08,0.08,0.125,0.07,1200,,-,-,43%,,,,Active,,,,,,,,,,,,,,,,,
532618,99SMART-C18,301,0.1,0.09,0.1,-0.01,0.1,0.09,0.175,0.065,13823,,47,1137815,41%,,,,Active,,,,,,,,,,,,,,,,,
532619,99SMART-C19,301,,,0.1,,-,-,0.175,0.1,0,,-,-,24%,,,,Active,,,,,,,,,,,,,,,,,
5326C2,99SMART-C2,301,,,0.065,,-,-,0.14,0.02,0,,-,331510,50%,0.006,,,Active,,,,,,,,,,,,,,,,,
532620,99SMART-C20,301,,,0.045,,-,-,0.055,0.04,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
532621,99SMART-C21,301,0.07,0.07,0.07,-,0.07,0.07,0.07,0.07,120,,50,-,0%,,,,Active,,,,,,,,,,,,,,,,,
532622,99SMART-C22,301,,,0.045,,-,-,0.045,0.045,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5326C3,99SMART-C3,301,,,0.175,,-,-,0.175,0.095,0,,-,-,78%,,,,Active,,,,,,,,,,,,,,,,,
5326C4,99SMART-C4,301,,,0.185,,-,-,0.26,0.07,0,,-,1302805,32%,0.007,,,Active,,,,,,,,,,,,,,,,,
5326C5,99SMART-C5,301,0.26,0.26,0.26,-,0.265,0.26,0.37,0.06,7000,,43,403540,43%,0.027,,,Active,,,,,,,,,,,,,,,,,
5326C6,99SMART-C6,301,0.355,0.355,0.36,-0.005,0.355,0.355,0.52,0.075,3000,,73,851990,38%,0.023,,,Active,,,,,,,,,,,,,,,,,
5326C7,99SMART-C7,301,,,0.17,,-,-,0.22,0.06,0,,-,551755,66%,0.031,,,Active,,,,,,,,,,,,,,,,,
5326C8,99SMART-C8,301,,,0.445,,-,-,0.52,0.095,0,,-,107360,77%,0.076,,,Active,,,,,,,,,,,,,,,,,
5326C9,99SMART-C9,301,,,0.29,,-,-,0.315,0.11,0,,-,-,83%,,,,Active,,,,,,,,,,,,,,,,,
5326CZ,99SMART-CZ,301,,,0.33,,-,-,0.33,0.065,0,,-,193760,83%,0.04,,,Active,,,,,,,,,,,,,,,,,
0365,A1AKK,401,0.24,0.235,0.25,-0.015,0.245,0.235,0.255,0.19,8725,,36,1368400,71%,0.009,0.82,32.81,Active,,,,,,,,,,,,,,,,,
0703CJ,A50CHIN-CJ,358,0.14,0.14,0.145,-0.005,0.145,0.125,0.265,0.12,36360,,56,629915,43%,-0.012,,,Active,,,,,,,,,,,,,,,,,
0703CK,A50CHIN-CK,358,0.245,0.25,0.255,-0.005,0.25,0.23,0.305,0.215,56000,,50,-,0%,,,,Active,,,,,,,,,,,,,,,,,
07031A,A50CHIN-H1A,358,0.09,0.09,0.085,+0.005,0.09,0.09,0.185,0.085,8000,,50,-,0%,,,,Active,,,,,,,,,,,,,,,,,
070399,A50CHIN-H99,358,,,0.015,,-,-,0.03,0.015,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
7054,AASIA,125,,,0.09,,-,-,0.115,0.075,0,,-,68615,45%,,-0.5,,Active,,,,,,,,,,,,,,,,,
5238,AAX,101,1.7,1.7,1.7,-,1.73,1.69,2.16,1.23,4964,,51,1535610,56%,0.026,51.3,3.32,Active,,,,,,,,,,,,,,,,,
523828,AAX-C28,301,0.06,0.06,0.06,-,0.06,0.06,0.17,0.04,700,,-,686150,44%,-0.001,,,Active,,,,,,,,,,,,,,,,,
523829,AAX-C29,301,0.08,0.075,0.075,-,0.085,0.075,0.11,0.05,6000,,44,693300,36%,0.005,,,Active,,,,,,,,,,,,,,,,,
