ticket_id,agency,subject,date_submitted,status,last_update,remarks
SISPAA-TEST,JKM,"Test from phone 2",2026-09-07,"DALAM SIASATAN",2026-09-07,""
SISPAA-007,DKP,"Aduan rumah rosak",2026-09-06,"DALAM SIASATAN",2026-09-07,"Menunggu tindakan"
JPA.095702,JPA,"ERI, MELAKA BERKENAAN PENGESAHAN DATA EKA",2026-06-23,"DALAM PERHATIAN",2026-09-07,"Imported from SISPAA"
JPA.097439,JPA,"UDI MADANI & MYSARA SERTA KETIDAKSELARASA",2026-07-06,"DALAM SIASATAN",2026-09-07,"Imported from SISPAA"
MOF.900113,MOF,"HB JULAI, 2026",2026-07-29,"DALAM SIASATAN",2026-09-07,"Imported from SISPAA"
MOF.900118,MOF,"ADUAN BANTUAN SARA BULANAN",2026-08-01,"DALAM SIASATAN",2026-09-07,"Imported from SISPAA"
MOT.900167,MOT,"ERAAN DISEL-CBG9761",2026-08-10,"DALAM SIASATAN",2026-09-07,"Imported from SISPAA"
PCB.363501,PCB,KM_JPA.100199,2026-08-15,"DALAM SIASATAN",2026-09-07,"Imported from SISPAA"
MOH.900532,MOH,"TAL BESAR MELAKA",2026-08-30,"DALAM SIASATAN",2026-09-07,"Imported from SISPAA"
MOF.900136,MOF,"AMAAN KADAR BAYARAN",2026-09-02,"DALAM SIASATAN",2026-09-07,"Imported from SISPAA"
JPA.101124,JPA,"AN SISTEM MOF (URL ERROR)",2026-07-28,"DALAM SIASATAN",2026-09-07,"Imported from SISPAA"
JPA.098623,JPA,"ADUAN KETIDAKPUASHATI PENYELESAIAN KES",2026-07-13,"DALAM PERHATIAN",2026-09-08,Selesai
JPA.099369,JPA,"JPJ SENGAJA MENUKAR STATUS KES",2026-07-16,"DALAM PERHATIAN",2026-09-08,Selesai
JPA.100199,JPA,"ADUAN KEGAGALAN PENTADBIRAN JKM MELAKA",2026-07-22,"DALAM PERHATIAN",2026-09-08,Selesai
JPA.100222,JPA,"ADUAN TICKET NO. JPA.099346 HILANG",2026-07-22,"DALAM PERHATIAN",2026-09-08,Ditolak
JPA.100556,JPA,"PERTANYAAN REBAT LKM DIESEL HIJAU",2026-07-24,"DALAM PERHATIAN",2026-09-08,Selesai
JPA.101059,JPA,"MOHON PENJELASAN DARI SISPAA",2026-07-27,"DALAM PERHATIAN",2026-09-08,Ditolak
ICU.900002,ICU,"ADUAN KETIDAKPUASHATI KIRAAN PGK",2026-08-03,"DALAM PERHATIAN",2026-09-08,"Dalam Perhatian"
ICU.900003,ICU,"BANTAHAN E-MEL PPN MELAKA",2026-08-06,"DALAM PERHATIAN",2026-09-08,"Dalam Perhatian"
MOH.900460,MOH,"MOHON BANTUAN CPET",2026-08-13,"DALAM PERHATIAN",2026-09-08,Ditolak
JPA.090672,JPA,"PENGHARGAAN SEMINAR JKM MELAKA",2026-05-01,"DALAM PERHATIAN",2026-09-08,Selesai
JPA.094306,JPA,"ADUAN TERHADAP JABATAN PEMBANGUNAN NEGERI MELAKA",2026-06-09,"DALAM PERHATIAN",2026-09-08,Selesai
JPA.097313,JPA,"KENDERAAN PERIBADI DISEL HIJAU",2026-07-06,"DALAM PERHATIAN",2026-09-08,Selesai
