Code,Stock,Prv Close,High,Low,Last,Vol,Status,P/E,EPS*,"MACD (26, 12)",Vol MA (20),DY*,Y-Low,Y-High,RSI (14),Open,Sector,Chg,B%,code_clean,name_clean,price_num,volume_num,instrument_type,sector_raw,sector_name,daily_change
"=""0012""",3A,0.700,0.705,0.700,0.705,610,Active,7.98,8.89,-0.001,86330,3.97%,0.69,0.815,44%,0.7,101,+0.005,42,0012,3A,0.705,86330.0,Stock,101,Industrial & Consumer Products,0.0
"=""0328""",3REN,0.350,0.345,0.330,0.335,5896,Active,24.52,1.54,-0.013,2209100,1.49%,0.2,0.48,32%,0.34,405,-0.015,12,0328,3REN,0.335,2209100.0,Stock,405,Property,0.0
"=""5326""",99SMART,3.950,3.960,3.900,3.95,69874,Active,67.68,5.84,0.058,11337015,0.32%,1.92,4.15,57%,3.94,101,-,48,5326,99SMART,3.95,11337015.0,Stock,101,Industrial & Consumer Products,0.0
"=""532612""",99SMART-C12,0.320,0.315,0.315,0.315,596,Active,,,0.042,45785,,0.075,0.335,75%,0.315,301,-0.005,50,532612,99SMART-C12,0.315,45785.0,Warrant,301,Technology,0.0
"=""532614""",99SMART-C14,0.395,0.370,0.370,0.37,1,Active,,,0.074,71230,,0.085,0.415,71%,0.37,301,-0.025,100,532614,99SMART-C14,0.37,71230.0,Warrant,301,Technology,0.0
"=""532617""",99SMART-C17,0.160,0.150,0.145,0.15,560,Active,,,0.006,107070,,0.07,0.18,57%,0.145,301,-0.010,4,532617,99SMART-C17,0.15,107070.0,Warrant,301,Technology,0.0
"=""532618""",99SMART-C18,0.340,0.325,0.325,0.325,200,Active,,,0.025,232320,,0.065,0.38,55%,0.325,301,-0.015,100,532618,99SMART-C18,0.325,232320.0,Warrant,301,Technology,0.0
"=""532620""",99SMART-C20,0.100,0.095,0.095,0.095,8240,Active,,,0.002,1073385,,0.04,0.13,52%,0.095,301,-0.005,18,532620,99SMART-C20,0.095,1073385.0,Warrant,301,Technology,0.0
"=""532621""",99SMART-C21,0.175,0.170,0.170,0.17,230,Active,,,0.013,124950,,0.07,0.21,57%,0.17,301,-0.005,52,532621,99SMART-C21,0.17,124950.0,Warrant,301,Technology,0.0
"=""532622""",99SMART-C22,0.080,0.075,0.075,0.075,40,Active,,,0.002,1358770,,0.045,0.1,44%,0.075,301,-0.005,25,532622,99SMART-C22,0.075,1358770.0,Warrant,301,Technology,0.0
"=""532623""",99SMART-C23,0.230,0.240,0.215,0.24,1222,Active,,,0.011,3673825,,0.09,0.285,57%,0.225,301,+0.010,-,532623,99SMART-C23,0.24,3673825.0,Warrant,301,Technology,0.0
"=""532624""",99SMART-C24,0.375,0.380,0.360,0.375,13032,Active,,,0.02,2352745,,0.135,0.465,57%,0.365,301,-,56,532624,99SMART-C24,0.375,2352745.0,Warrant,301,Technology,0.0
"=""532625""",99SMART-C25,0.165,0.165,0.160,0.165,1800,Active,,,0.01,237170,,0.08,0.2,56%,0.16,301,-,67,532625,99SMART-C25,0.165,237170.0,Warrant,301,Technology,0.0
"=""532626""",99SMART-C26,0.155,0.155,0.155,0.155,862,Active,,,0.01,520475,,0.06,0.195,57%,0.155,301,-,71,532626,99SMART-C26,0.155,520475.0,Warrant,301,Technology,0.0
"=""532627""",99SMART-C27,0.105,0.110,0.100,0.105,22653,Active,,,,-,,0.095,0.135,0%,0.105,301,-,73,532627,99SMART-C27,0.105,,Warrant,301,Technology,0.0
"=""532628""",99SMART-C28,0.080,0.080,0.075,0.08,43471,Active,,,,-,,0.08,0.1,0%,0.08,301,-,49,532628,99SMART-C28,0.08,,Warrant,301,Technology,0.0
"=""532629""",99SMART-C29,0.090,0.085,0.085,0.085,90,Active,,,,-,,0.09,0.11,0%,0.085,301,-0.005,44,532629,99SMART-C29,0.085,,Warrant,301,Technology,0.0
"=""532631""",99SMART-C31,0.070,0.065,0.065,0.065,1742,Active,,,,-,,0.065,0.095,0%,0.065,301,-0.005,29,532631,99SMART-C31,0.065,,Warrant,301,Technology,0.0
"=""532632""",99SMART-C32,0.045,0.050,0.045,0.05,520,Active,,,,-,,0.045,0.045,0%,0.045,301,+0.005,96,532632,99SMART-C32,0.05,,Warrant,301,Technology,0.0
"=""0365""",A1AKK,0.215,0.215,0.205,0.215,3588,Active,30.02,0.82,-0.003,156590,,0.19,0.255,25%,0.215,401,-,24,0365,A1AKK,0.215,156590.0,Stock,401,Property,0.0
"=""0703CK""",A50CHIN-CK,0.085,0.065,0.065,0.065,1000,Active,,,-0.024,788600,,0.065,0.305,38%,0.065,358,-0.020,-,0703CK,A50CHIN-CK,0.065,788600.0,Warrant,358,Technology,0.0
"=""03067""",AAI,0.230,0.230,0.210,0.23,4500,Active,,,,-,,0.19,0.23,0%,0.21,702,-,100,03067,AAI,0.23,,Stock,702,Utilities,0.0
"=""7054""",AASIA,0.085,0.085,0.085,0.085,88,Active,,-0.5,-0.001,23835,,0.075,0.11,40%,0.085,125,-,-,7054,AASIA,0.085,23835.0,Stock,125,Industrial & Consumer Products,0.0
"=""5238""",AAX,1.950,1.960,1.890,1.9,102375,Active,27.87,51.3,0.055,23802860,,1.23,2.33,63%,1.95,101,-0.050,44,5238,AAX,1.9,23802860.0,Stock,101,Industrial & Consumer Products,0.0
"=""523829""",AAX-C29,0.105,0.085,0.085,0.085,100,Active,,,0.009,397365,,0.035,0.24,59%,0.085,301,-0.020,-,523829,AAX-C29,0.085,397365.0,Warrant,301,Technology,0.0
"=""523830""",AAX-C30,0.080,0.080,0.075,0.075,8760,Active,,,0.003,5594960,,0.05,0.15,59%,0.08,301,-0.005,22,523830,AAX-C30,0.075,5594960.0,Warrant,301,Technology,0.0
"=""523831""",AAX-C31,0.130,0.125,0.120,0.12,22629,Active,,,0.009,4135745,,0.075,0.22,60%,0.125,301,-0.010,53,523831,AAX-C31,0.12,4135745.0,Warrant,301,Technology,0.0
"=""523833""",AAX-C33,0.065,0.060,0.055,0.055,359,Active,,,,-,,0.06,0.07,0%,0.06,301,-0.010,97,523833,AAX-C33,0.055,,Warrant,301,Technology,0.0
"=""523834""",AAX-C34,0.085,0.080,0.080,0.08,1500,Active,,,,-,,0.08,0.09,0%,0.08,301,-0.005,33,523834,AAX-C34,0.08,,Warrant,301,Technology,0.0
"=""523835""",AAX-C35,0.115,0.110,0.105,0.105,23156,Active,,,,-,,0.11,0.115,0%,0.11,301,-0.010,54,523835,AAX-C35,0.105,,Warrant,301,Technology,0.0
"=""523836""",AAX-C36,-,0.070,0.065,0.065,150,New,,,,-,,,,0%,0.07,301,-0.085,67,523836,AAX-C36,0.065,,Warrant,301,Technology,0.0
"=""0800EA""",ABFMY1,1.234,1.234,1.230,1.234,12,Active,,,0.001,29840,,1.19,1.3,64%,1.23,657,-,100,0800EA,ABFMY1,1.234,29840.0,Warrant,657,Transportation & Logistics,0.0
"=""7167""",ABLEGLOB,1.650,1.650,1.650,1.65,11,Active,7.32,22.43,0.011,120275,4.55%,1.26,1.72,53%,1.65,101,-,88,7167,ABLEGLOB,1.65,120275.0,Stock,101,Industrial & Consumer Products,0.0
"=""7086""",ABLEGRP,0.070,0.070,0.065,0.065,770,Active,745.8,0.01,,62985,,0.065,0.095,50%,0.07,102,-0.005,52,7086,ABLEGRP,0.065,62985.0,Stock,102,Industrial & Consumer Products,0.0
"=""2488""",ABMB,5.300,5.300,5.270,5.29,10702,Active,12.19,48.49,0.069,3589700,3.67%,3.93,5.59,59%,5.3,110,-0.010,52,2488,ABMB,5.29,3589700.0,Stock,110,Industrial & Consumer Products,0.0
"=""248825""",ABMB-C25,0.115,0.115,0.115,0.115,10,Active,,,0.006,269840,,0.045,0.165,53%,0.115,310,-,-,248825,ABMB-C25,0.115,269840.0,Warrant,310,Technology,0.0
"=""248826""",ABMB-C26,0.145,0.145,0.140,0.14,5905,Active,,,0.007,894405,,0.06,0.2,55%,0.145,310,-0.005,38,248826,ABMB-C26,0.14,894405.0,Warrant,310,Technology,0.0
"=""248827""",ABMB-C27,0.050,0.045,0.045,0.045,600,Active,,,,-,,0.04,0.065,0%,0.045,310,-0.005,67,248827,ABMB-C27,0.045,,Warrant,310,Technology,0.0
"=""248829""",ABMB-C29,0.125,0.120,0.120,0.12,20535,Active,,,,-,,0.125,0.13,0%,0.12,310,-0.005,38,248829,ABMB-C29,0.12,,Warrant,310,Technology,0.0
"=""7131""",ACME,0.110,0.105,0.105,0.105,1088,Active,7.53,1.43,-0.001,132785,,0.1,0.17,50%,0.105,120,-0.005,77,7131,ACME,0.105,132785.0,Stock,120,Industrial & Consumer Products,0.0
"=""0218""",ACO,0.175,0.175,0.165,0.17,4786,Active,11.99,1.42,-0.002,109010,1.18%,0.175,0.235,29%,0.175,402,-0.005,15,0218,ACO,0.17,109010.0,Stock,402,Property,0.0
"=""0276""",ADB,0.680,0.710,0.680,0.71,12004,Active,19.96,3.56,-0.018,635235,5.63%,0.655,1.21,21%,0.68,405,+0.030,60,0276,ADB,0.71,635235.0,Stock,405,Property,0.0
"=""5281""",ADVCON,0.195,0.195,0.190,0.19,4190,Active,,-3.82,-0.001,198575,,0.19,0.25,44%,0.19,103,-0.005,69,5281,ADVCON,0.19,198575.0,Stock,103,Industrial & Consumer Products,0.0
"=""7191""",ADVENTA,0.145,0.150,0.145,0.15,205,Active,22.08,0.69,-0.003,246775,,0.145,0.285,33%,0.145,162,+0.005,4,7191,ADVENTA,0.15,246775.0,Stock,162,Industrial & Consumer Products,0.0
"=""7146""",AEM,0.065,0.060,0.050,0.06,146,Active,,-6.84,,469895,,0.035,0.07,67%,0.055,102,-0.005,52,7146,AEM,0.06,469895.0,Stock,102,Industrial & Consumer Products,0.0
"=""0181""",AEMULUS,0.150,0.155,0.150,0.155,8460,Active,25.83,0.6,-0.009,2237560,,0.15,0.315,21%,0.15,405,+0.005,97,0181,AEMULUS,0.155,2237560.0,Stock,405,Property,0.0
"=""6599""",AEON,1.260,1.270,1.250,1.26,25168,Active,13.82,9.12,0.037,5441410,3.57%,1.01,1.54,64%,1.26,101,-,49,6599,AEON,1.26,5441410.0,Stock,101,Industrial & Consumer Products,0.0
"=""659941""",AEON-C41,0.015,0.010,0.010,0.01,28951,Active,,,-0.002,1742985,,0.005,0.105,75%,0.01,301,-0.005,2,659941,AEON-C41,0.01,1742985.0,Warrant,301,Technology,0.0
"=""659945""",AEON-C45,0.055,0.050,0.050,0.05,1000,Active,,,0.006,1717090,,0.02,0.06,58%,0.05,301,-0.005,-,659945,AEON-C45,0.05,1717090.0,Warrant,301,Technology,0.0
"=""659947""",AEON-C47,0.075,0.065,0.065,0.065,1800,Active,,,0.009,1155360,,0.015,0.08,71%,0.065,301,-0.010,-,659947,AEON-C47,0.065,1155360.0,Warrant,301,Technology,0.0
"=""659949""",AEON-C49,0.075,0.075,0.075,0.075,500,Active,,,,-,,0.06,0.08,62%,0.075,301,-,100,659949,AEON-C49,0.075,,Warrant,301,Technology,0.0
"=""5139""",AEONCR,5.890,5.900,5.830,5.83,854,Active,8.03,72.58,0.035,213215,4.93%,4.85,6.36,44%,5.89,110,-0.060,34,5139,AEONCR,5.83,213215.0,Stock,110,Industrial & Consumer Products,0.0
"=""5185""",AFFIN,2.780,2.780,2.740,2.75,81145,Active,13.67,21.45,0.073,4677930,,2.21,2.9,60%,2.78,110,-0.030,42,5185,AFFIN,2.75,4677930.0,Stock,110,Industrial & Consumer Products,0.0
"=""518525""",AFFIN-C25,0.180,0.170,0.165,0.17,4488,Active,,,0.016,1734660,,0.06,0.185,62%,0.17,310,-0.010,47,518525,AFFIN-C25,0.17,1734660.0,Warrant,310,Technology,0.0
"=""518526""",AFFIN-C26,0.125,0.120,0.120,0.12,680,Active,,,,294400,,0.08,0.13,54%,0.12,310,-0.005,24,518526,AFFIN-C26,0.12,294400.0,Warrant,310,Technology,0.0
"=""518527""",AFFIN-C27,0.115,0.110,0.105,0.105,90,Active,,,,569695,,0.055,0.115,60%,0.11,310,-0.010,-,518527,AFFIN-C27,0.105,569695.0,Warrant,310,Technology,0.0
"=""518529""",AFFIN-C29,0.070,0.065,0.065,0.065,4,Active,,,,-,,0.07,0.07,0%,0.065,310,-0.005,50,518529,AFFIN-C29,0.065,,Warrant,310,Technology,0.0
"=""518530""",AFFIN-C30,0.120,0.115,0.110,0.11,13567,Active,,,,-,,0.115,0.125,0%,0.115,310,-0.010,53,518530,AFFIN-C30,0.11,,Warrant,310,Technology,0.0
"=""0258""",AGMO,0.305,0.310,0.305,0.31,370,Active,10.95,2.5,-0.011,353955,4.84%,0.3,0.56,11%,0.305,405,+0.005,3,0258,AGMO,0.31,353955.0,Stock,405,Property,0.0
"=""0309""",AGRICOR,0.445,0.445,0.445,0.445,100,Active,,-0.4,-0.002,46800,,0.335,0.575,51%,0.445,401,-,100,0309,AGRICOR,0.445,46800.0,Stock,401,Property,0.0
"=""0299""",AGX,0.525,0.525,0.520,0.52,553,Active,17.87,2.94,0.002,297305,1.73%,0.405,0.625,24%,0.525,464,-0.005,70,0299,AGX,0.52,297305.0,Stock,464,Property,0.0
"=""7315""",AHB,0.035,0.035,0.035,0.035,64,Active,,-0.8,,7155090,,0.02,0.04,50%,0.035,101,-,100,7315,AHB,0.035,7155090.0,Stock,101,Industrial & Consumer Products,0.0
"=""7315WC""",AHB-WC,0.015,0.015,0.010,0.015,817,Active,,,,174690,,0.005,0.015,50%,0.01,101,-,8,7315WC,AHB-WC,0.015,174690.0,Warrant,101,Industrial & Consumer Products,0.0
"=""0122""",AIM,0.065,0.070,0.050,0.05,111,Active,,-1.68,0.005,1404875,,0.015,0.075,70%,0.06,402,-0.015,67,0122,AIM,0.05,1404875.0,Stock,402,Property,0.0
