Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26,12)",EPS*,P/E,Status
"=""03041""",1TECH,Utilities,,,0.020,,-,-,0.03,0.02,0,,-,-,0%,,,,Active
"=""0012""",3A,Industrial & Consumer Products,0.7,0.7,0.705,-0.005,0.700,0.700,0.815,0.69,28,4.00%,-,86465,53%,-0.001,8.89,7.93,Active
"=""0328""",3REN,Property,0.35,0.35,0.350,-,0.350,0.340,0.48,0.2,5037,1.43%,45,2632720,38%,-0.013,1.54,25.61,Active
"=""5326""",99SMART,Industrial & Consumer Products,4.01,3.95,4.010,-0.060,4.010,3.910,4.15,1.92,132681,0.32%,46,11095360,61%,0.066,5.84,67.68,Active
"=""532610""",99SMART-C10,Technology,,,0.250,,-,-,0.255,0.07,0,,-,7300,84%,0.023,,,Active
"=""532611""",99SMART-C11,Technology,,,0.540,,-,-,0.555,0.125,0,,-,442990,53%,0.049,,,Active
"=""532612""",99SMART-C12,Technology,,,0.320,,-,-,0.335,0.075,0,,-,45785,75%,0.042,,,Active
"=""532613""",99SMART-C13,Technology,,,0.550,,-,-,0.55,0.065,0,,-,59440,72%,0.058,,,Active
"=""532614""",99SMART-C14,Technology,,,0.395,,-,-,0.415,0.085,0,,-,71230,71%,0.074,,,Active
"=""532615""",99SMART-C15,Technology,,,0.510,,-,-,0.51,0.09,0,,-,310990,78%,0.054,,,Active
"=""532616""",99SMART-C16,Technology,0.375,0.37,0.380,-0.010,0.375,0.370,0.415,0.1,500,,100,78550,63%,0.036,,,Active
"=""532617""",99SMART-C17,Technology,,,0.160,,-,-,0.18,0.07,0,,-,107070,57%,0.006,,,Active
"=""532618""",99SMART-C18,Technology,,,0.340,,-,-,0.38,0.065,0,,-,232320,55%,0.025,,,Active
"=""532619""",99SMART-C19,Technology,,,0.310,,-,-,0.31,0.1,0,,-,412285,77%,0.033,,,Active
"=""532620""",99SMART-C20,Technology,0.105,0.1,0.105,-0.005,0.105,0.095,0.13,0.04,7700,,26,1185495,54%,0.003,,,Active
"=""532621""",99SMART-C21,Technology,0.18,0.175,0.185,-0.010,0.180,0.170,0.21,0.07,1050,,42,125650,59%,0.015,,,Active
"=""532622""",99SMART-C22,Technology,0.08,0.08,0.080,-,0.080,0.080,0.1,0.045,20,,50,1772370,40%,0.002,,,Active
"=""532623""",99SMART-C23,Technology,0.24,0.23,0.250,-0.020,0.240,0.230,0.285,0.09,849,,22,3843830,60%,0.013,,,Active
"=""532624""",99SMART-C24,Technology,0.4,0.375,0.400,-0.025,0.400,0.365,0.465,0.135,48919,,51,2177645,61%,0.023,,,Active
"=""532625""",99SMART-C25,Technology,0.175,0.165,0.180,-0.015,0.175,0.160,0.2,0.08,4402,,36,224175,60%,0.012,,,Active
"=""532626""",99SMART-C26,Technology,0.17,0.155,0.170,-0.015,0.170,0.155,0.195,0.06,4271,,49,558995,61%,0.011,,,Active
"=""532627""",99SMART-C27,Technology,0.11,0.105,0.115,-0.010,0.110,0.105,0.135,0.095,23360,,48,-,0%,,,,Active
